date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:28	581/581	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/shapes/sidebar-shape2.png	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/shapes/sidebar-shape2.png	(from https://bracketweb.com/ontech-html/it-consultancy.html)
16:13:29	635/635	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/shapes/sidebar-shape3.png	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/shapes/sidebar-shape3.png	(from https://bracketweb.com/ontech-html/it-consultancy.html)
16:13:29	463/463	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/shapes/sidebar-shape4.png	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/shapes/sidebar-shape4.png	(from https://bracketweb.com/ontech-html/it-consultancy.html)
16:13:30	1554/1554	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/resources/sidebar-img1.jpg	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/resources/sidebar-img1.jpg	(from https://bracketweb.com/ontech-html/it-consultancy.html)
16:13:30	40358/40358	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/resources/sidebar-img2.jpg	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/resources/sidebar-img2.jpg	(from https://bracketweb.com/ontech-html/it-consultancy.html)
16:13:31	32949/32949	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/services/services-details-img1.jpg	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/services/services-details-img1.jpg	(from https://bracketweb.com/ontech-html/it-consultancy.html)
16:13:31	29125/29125	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/services/services-details-img2.jpg	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/services/services-details-img2.jpg	(from https://bracketweb.com/ontech-html/it-consultancy.html)
16:13:32	34917/34917	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/project/projects-v1-img4.jpg	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/project/projects-v1-img4.jpg	(from https://bracketweb.com/ontech-html/projects.html)
16:13:33	89381/89381	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/project/projects-v1-img5.jpg	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/project/projects-v1-img5.jpg	(from https://bracketweb.com/ontech-html/projects.html)
16:13:33	50983/50983	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Feb%202024%2013:49:38%20GMT	https://bracketweb.com/ontech-html/assets/images/project/projects-v1-img6.jpg	D:/bracketweb-site/bracketweb.com/ontech-html/assets/images/project/projects-v1-img6.jpg	(from https://bracketweb.com/ontech-html/projects.html)
